StudyHours,Attendance,PreviousScore,AssignmentScore,WritingSkills,ReadingSkills,ComputerSkills,PercentScore,Grade,Pass/Fail
1.6,72.8,74.4,64.7,4,10,4,59.98,C,Pass
3.5,68.4,56.9,84.2,4,6,8,65.69,B,Pass
1.2,88.9,75.5,81.6,7,3,8,62.8,B,Pass
5.5,88.5,30.7,22.5,2,7,8,58.9,C,Pass
2.3,61.0,80.9,64.5,2,8,3,58.2,C,Pass
4.3,69.2,84.7,96.9,1,4,9,73.83,B+,Pass
2.6,60.6,91.4,58.6,4,10,10,72.1,B+,Pass
3.6,52.3,65.0,93.2,1,3,10,63.86,B,Pass
3.7,52.8,50.0,37.1,4,8,5,55.14,C,Pass
1.9,57.3,81.1,76.1,2,6,9,62.02,B,Pass
5.8,51.5,96.4,66.9,6,10,4,82.48,A,Pass
4.9,71.2,83.9,30.5,6,4,2,64.27,B,Pass
5.7,53.2,93.8,32.0,4,3,2,65.37,B,Pass
5.5,92.4,38.4,76.0,7,9,5,73.24,B+,Pass
4.0,85.6,94.7,29.4,5,10,2,69.64,B,Pass
5.6,89.2,79.8,71.1,3,5,7,76.94,B+,Pass
1.4,80.9,87.6,91.0,6,5,10,70.24,B+,Pass
2.0,83.2,59.5,44.8,10,6,4,57.92,C,Pass
1.2,55.7,69.9,39.1,9,3,9,54.71,C,Pass
2.6,52.9,72.9,63.1,2,1,8,54.38,C,Pass
2.9,99.5,66.3,94.2,3,2,5,62.26,B,Pass
2.4,68.6,36.8,25.9,9,2,7,47.54,F,Fail
5.1,52.6,46.2,90.2,8,3,2,63.74,B,Pass
2.8,58.0,39.8,32.2,7,8,2,48.78,F,Fail
2.4,93.7,88.0,53.6,4,4,4,61.01,B,Pass
3.7,60.3,56.1,85.8,7,5,10,69.72,B,Pass
1.7,73.4,50.2,65.2,1,8,3,48.47,F,Fail
5.0,83.4,45.3,42.0,4,4,4,57.96,C,Pass
1.4,98.3,79.2,29.8,2,5,4,50.7,C,Pass
5.9,50.7,66.4,70.5,10,8,2,75.84,B+,Pass
4.9,74.4,71.4,85.3,7,9,1,74.68,B+,Pass
2.0,99.8,82.9,58.4,1,7,4,59.46,C,Pass
1.0,56.1,97.9,75.4,8,8,4,65.4,B,Pass
5.1,56.2,81.9,65.0,5,3,7,71.24,B+,Pass
4.5,54.4,98.0,77.4,2,5,9,75.55,B+,Pass
4.6,75.4,78.8,93.6,6,3,1,69.68,B,Pass
4.9,67.4,77.4,50.1,1,1,2,57.21,C,Pass
1.4,85.8,40.1,78.5,8,2,3,48.98,F,Fail
2.8,78.6,36.5,96.5,10,1,1,54.66,C,Pass
1.6,79.0,31.7,38.0,6,10,1,44.92,F,Fail
5.3,75.6,78.6,93.6,1,7,5,75.45,B+,Pass
4.1,99.6,75.4,53.3,7,6,6,72.2,B+,Pass
2.7,77.0,74.2,24.3,10,1,9,60.7,B,Pass
1.3,53.6,73.8,37.6,4,1,10,49.65,F,Fail
2.6,66.1,78.2,91.0,4,7,6,67.21,B,Pass
2.6,89.0,88.5,64.4,5,1,7,64.08,B,Pass
4.6,81.4,80.8,93.5,6,5,6,77.76,B+,Pass
4.2,84.2,72.0,62.9,10,2,4,68.66,B,Pass
5.4,96.1,45.3,20.3,4,4,8,61.58,B,Pass
3.4,72.2,83.7,75.6,5,5,6,69.09,B,Pass
1.6,51.0,47.5,55.9,5,3,8,47.76,F,Fail
4.6,99.5,77.6,26.2,7,3,9,70.68,B+,Pass
4.8,72.7,39.4,41.2,5,9,1,57.5,C,Pass
3.8,54.9,65.7,31.9,1,10,7,59.9,C,Pass
4.9,77.4,74.3,56.0,10,8,3,75.32,B+,Pass
3.5,79.5,87.1,44.2,8,8,3,69.35,B,Pass
3.6,78.2,79.2,36.7,4,1,3,55.52,C,Pass
3.1,98.2,86.5,71.8,6,8,8,76.61,B+,Pass
1.1,66.0,89.9,95.6,2,4,4,57.82,C,Pass
1.5,51.7,91.4,96.9,5,10,8,71.56,B+,Pass
1.2,96.0,91.7,49.8,8,4,8,64.8,B,Pass
4.2,59.6,48.4,41.1,8,9,6,64.03,B,Pass
2.6,87.5,86.6,70.1,2,2,10,65.32,B,Pass
3.5,60.2,31.2,49.1,10,9,1,55.18,C,Pass
5.5,91.4,95.5,84.5,8,2,10,87.69,A,Pass
2.2,95.3,43.0,51.3,9,2,2,49.78,F,Fail
3.1,55.3,91.8,65.7,4,9,3,66.74,B,Pass
4.8,57.4,86.3,99.0,9,8,9,87.36,A,Pass
2.1,96.3,57.3,30.5,7,5,2,50.93,C,Pass
1.4,88.5,97.4,45.6,2,5,10,62.64,B,Pass
2.4,51.9,36.6,25.9,10,4,9,50.82,C,Pass
1.8,59.1,50.4,96.6,1,1,10,52.2,C,Pass
5.6,70.6,47.7,59.2,10,1,1,62.26,B,Pass
5.0,93.2,30.6,46.0,3,9,5,60.87,B,Pass
4.2,57.6,41.5,94.3,10,2,9,68.08,B,Pass
5.4,86.2,85.6,55.1,3,7,10,79.89,B+,Pass
5.0,54.2,88.2,20.4,8,9,6,73.53,B+,Pass
1.9,73.4,82.2,64.9,7,3,10,65.22,B,Pass
5.5,86.4,68.3,27.1,1,4,5,61.78,B,Pass
3.7,53.2,74.3,98.8,4,9,6,72.52,B+,Pass
5.0,60.2,70.7,92.8,2,2,9,70.62,B+,Pass
5.5,89.6,47.7,80.0,1,9,3,67.89,B,Pass
2.6,58.2,56.9,70.7,3,10,3,57.05,C,Pass
1.6,83.4,87.3,23.5,2,10,1,53.09,C,Pass
2.1,82.1,36.6,38.0,7,7,4,49.46,F,Fail
3.1,76.0,32.7,53.7,7,1,6,50.23,C,Pass
5.1,60.1,78.2,82.1,1,6,9,74.28,B+,Pass
5.3,70.8,88.7,31.2,6,10,2,73.13,B+,Pass
1.0,81.1,73.2,80.4,1,4,6,53.47,C,Pass
3.6,94.1,83.4,67.9,2,6,3,65.84,B,Pass
3.1,89.9,98.4,59.3,3,10,6,73.89,B+,Pass
2.1,80.4,74.2,93.7,7,4,2,62.04,B,Pass
1.6,61.4,61.1,72.9,9,3,2,52.75,C,Pass
2.7,60.8,99.5,41.8,5,2,3,58.03,C,Pass
5.7,90.7,74.0,57.6,8,5,8,80.01,A,Pass
2.6,83.2,42.4,72.7,9,3,3,55.22,C,Pass
3.6,67.9,78.0,27.4,3,6,8,61.8,B,Pass
4.5,98.6,82.0,31.8,10,10,10,83.13,A,Pass
2.8,94.5,30.8,94.1,2,4,1,49.46,F,Fail
5.9,83.6,60.3,41.4,10,3,10,76.24,B+,Pass
5.8,68.5,96.2,48.9,6,10,1,78.44,B+,Pass
2.3,65.4,87.1,29.6,7,5,9,62.96,B,Pass
3.5,97.0,44.3,35.4,7,10,3,60.09,B,Pass
2.5,72.2,51.3,28.3,7,7,10,58.29,C,Pass
2.4,90.0,76.2,80.6,10,5,7,71.74,B+,Pass
1.2,97.0,93.9,64.2,1,1,5,54.6,C,Pass
4.0,74.6,91.5,44.1,10,4,5,71.95,B+,Pass
3.5,82.7,47.0,41.2,4,6,1,51.2,C,Pass
1.3,54.3,77.7,22.8,3,6,1,43.48,F,Fail
2.4,82.6,69.5,65.1,4,5,8,62.0,B,Pass
5.5,60.8,56.3,36.9,7,10,4,68.69,B,Pass
2.2,83.5,51.1,35.9,4,4,8,51.31,C,Pass
1.7,55.1,64.9,85.7,1,4,9,55.39,C,Pass
3.4,74.8,69.8,27.6,3,3,7,55.67,C,Pass
5.9,76.1,93.0,76.1,10,8,9,92.88,A+,Pass
2.2,74.2,82.4,39.8,9,8,3,62.79,B,Pass
4.4,87.8,34.2,74.9,7,6,1,60.17,B,Pass
4.8,87.7,42.4,28.2,6,10,1,59.8,C,Pass
2.2,85.3,46.6,62.5,7,7,10,62.36,B,Pass
4.6,81.6,44.4,56.4,6,9,9,70.12,B+,Pass
2.8,95.2,50.7,56.9,9,5,5,60.93,B,Pass
4.2,78.8,58.4,37.6,3,9,4,60.92,B,Pass
4.2,67.4,31.2,31.1,6,10,7,59.0,C,Pass
3.7,53.0,34.8,84.6,1,6,4,52.49,C,Pass
1.5,76.8,76.4,33.6,7,7,6,57.82,C,Pass
5.2,61.4,72.1,54.8,6,2,10,71.18,B+,Pass
2.6,69.3,91.3,22.6,2,4,9,58.54,C,Pass
1.9,52.5,96.9,34.2,6,5,6,59.21,C,Pass
1.2,82.0,81.2,30.9,1,2,5,45.93,F,Fail
4.0,94.3,57.6,75.4,1,1,1,54.14,C,Pass
4.4,66.3,82.1,81.6,5,6,9,76.99,B+,Pass
1.1,90.2,70.5,89.2,2,1,5,52.42,C,Pass
3.6,56.3,96.0,23.2,7,6,8,68.51,B,Pass
2.1,86.2,93.3,90.5,8,8,3,72.92,B+,Pass
4.2,54.0,88.8,46.4,1,1,1,54.36,C,Pass
1.9,62.9,75.5,92.3,7,1,7,61.61,B,Pass
4.5,68.0,42.0,53.2,1,7,5,56.28,C,Pass
2.9,57.8,83.9,20.9,2,9,8,60.49,B,Pass
5.7,59.2,91.5,60.3,7,6,5,78.64,B+,Pass
1.7,84.9,82.6,67.8,8,5,1,60.11,B,Pass
2.7,54.8,71.0,67.8,9,8,3,64.2,B,Pass
1.6,96.7,82.1,94.8,9,10,8,77.82,B+,Pass
5.6,88.4,55.6,54.2,10,8,5,76.27,B+,Pass
5.4,67.8,39.8,58.6,9,7,4,67.12,B,Pass
2.3,81.4,53.7,99.7,3,6,5,59.72,C,Pass
4.3,86.0,90.2,21.8,7,5,6,69.62,B,Pass
5.1,79.7,92.7,70.1,4,10,9,85.06,A,Pass
3.8,80.9,44.0,75.6,7,1,8,61.63,B,Pass
3.6,95.8,36.1,67.2,8,10,6,67.09,B,Pass
2.2,94.1,36.9,61.2,3,3,10,52.62,C,Pass
1.5,95.7,68.2,48.7,5,8,3,55.92,C,Pass
5.5,94.3,48.7,72.3,5,6,2,67.45,B,Pass
5.5,84.3,59.9,37.7,10,4,6,71.06,B+,Pass
4.2,74.6,68.2,94.7,8,10,9,82.52,A,Pass
2.7,74.4,34.0,94.7,1,9,6,56.94,C,Pass
2.7,88.6,85.2,59.6,2,4,7,62.9,B,Pass
4.6,96.2,42.6,66.9,9,6,6,69.7,B,Pass
5.5,54.4,61.6,100.0,2,5,8,72.84,B+,Pass
5.4,93.8,91.0,66.3,9,2,4,78.68,B+,Pass
4.9,92.5,87.6,90.5,5,6,3,78.32,B+,Pass
4.2,54.4,92.2,32.6,2,5,9,66.18,B,Pass
1.4,82.8,79.8,51.4,1,3,5,50.54,C,Pass
1.8,98.6,46.5,67.3,7,8,9,62.78,B,Pass
5.5,92.6,57.8,94.1,2,8,9,78.82,B+,Pass
4.0,53.1,37.1,23.2,3,4,4,45.06,F,Fail
1.0,96.3,56.1,82.0,10,5,1,55.96,C,Pass
1.5,58.7,30.3,72.6,8,6,4,48.34,F,Fail
4.3,53.6,68.0,51.3,1,10,9,67.26,B,Pass
1.0,61.4,33.6,79.7,10,4,3,47.5,F,Fail
1.8,74.2,37.7,65.2,5,3,5,46.82,F,Fail
3.7,90.8,70.8,55.2,6,8,10,73.86,B+,Pass
4.5,63.4,34.6,26.0,9,6,4,55.89,C,Pass
4.3,69.5,78.3,50.4,10,10,2,73.28,B+,Pass
2.1,57.1,77.2,45.6,8,1,6,55.25,C,Pass
4.6,64.6,94.1,77.7,9,10,5,84.04,A,Pass
2.2,95.1,62.8,96.3,3,1,7,59.46,C,Pass
2.6,84.0,99.5,80.0,1,9,7,72.68,B+,Pass
4.7,83.7,94.5,54.8,10,5,9,83.02,A,Pass
4.2,62.5,60.2,69.3,8,3,8,67.5,B,Pass
5.2,57.3,52.1,28.6,10,8,9,70.84,B+,Pass
4.3,94.4,64.2,55.9,1,8,5,65.07,B,Pass
3.8,97.2,63.0,54.1,10,9,9,76.78,B+,Pass
1.5,52.7,41.2,75.1,4,1,4,41.84,F,Fail
2.8,76.5,86.1,98.1,2,1,5,63.09,B,Pass
2.3,72.0,36.8,61.8,1,8,3,46.87,F,Fail
2.2,86.9,38.1,69.7,4,9,1,51.47,C,Pass
5.9,65.1,70.5,42.7,8,10,10,82.14,A,Pass
3.0,81.0,46.1,48.7,5,7,4,54.93,C,Pass
5.5,54.1,91.9,82.6,4,9,4,79.78,B+,Pass
4.2,91.1,99.9,32.3,2,4,2,63.73,B,Pass
5.0,61.9,40.8,47.3,10,1,6,60.48,B,Pass
3.5,65.7,95.7,85.7,4,5,1,67.35,B,Pass
3.9,68.9,85.2,67.2,2,7,10,72.87,B+,Pass
3.5,60.3,56.5,95.1,4,9,9,70.42,B+,Pass
2.0,90.4,67.3,70.2,4,1,10,59.4,C,Pass
4.6,53.4,57.4,45.3,5,9,5,63.88,B,Pass
2.4,96.7,66.0,26.6,2,5,5,51.76,C,Pass
1.1,96.5,66.0,95.3,8,1,1,54.84,C,Pass
4.2,91.4,83.1,62.9,7,1,1,65.15,B,Pass
1.9,97.6,76.4,60.5,6,10,5,66.54,B,Pass
5.7,88.1,35.4,36.9,6,1,7,60.0,B,Pass
5.8,78.1,50.9,61.3,2,3,5,62.93,B,Pass
5.6,86.1,35.9,28.4,1,3,7,55.24,C,Pass
2.9,50.2,59.9,78.1,6,7,9,65.31,B,Pass
1.1,84.3,63.8,90.1,4,4,10,60.3,B,Pass
5.6,52.1,54.9,97.8,1,6,5,68.0,B,Pass
3.1,94.4,42.5,44.4,4,4,6,53.12,C,Pass
5.8,94.8,55.8,36.6,8,10,10,80.12,A,Pass
5.8,55.7,78.3,32.2,3,5,3,64.18,B,Pass
5.3,84.0,38.6,27.6,9,4,10,66.39,B,Pass
2.5,83.4,66.7,84.7,2,9,10,68.72,B,Pass
2.9,74.9,78.9,53.0,5,10,4,65.76,B,Pass
5.3,51.3,44.4,34.8,8,6,2,58.65,C,Pass
2.6,55.7,94.5,60.2,6,7,3,64.62,B,Pass
1.8,83.0,39.5,32.2,5,9,2,46.2,F,Fail
3.8,76.5,41.1,87.4,5,9,5,65.24,B,Pass
5.7,52.3,38.7,26.8,7,3,4,55.72,C,Pass
4.5,75.9,86.0,23.9,4,10,8,72.68,B+,Pass
3.9,92.5,36.7,87.4,4,7,1,59.14,C,Pass
1.5,94.5,65.4,80.5,1,6,3,53.88,C,Pass
4.1,84.8,92.1,57.8,1,9,6,72.58,B+,Pass
6.0,83.1,69.8,76.7,3,9,2,75.27,B+,Pass
1.7,88.5,55.4,25.7,4,8,10,55.36,C,Pass
3.6,56.7,61.7,76.7,7,8,10,72.0,B+,Pass
5.4,59.5,31.8,37.0,7,5,3,56.05,C,Pass
4.7,74.3,65.1,91.2,9,9,2,76.18,B+,Pass
4.5,72.6,93.0,34.5,8,5,5,71.68,B+,Pass
4.5,59.2,91.2,88.9,2,10,3,75.06,B+,Pass
2.8,83.9,34.9,83.4,9,8,10,67.82,B,Pass
2.5,87.1,64.3,24.0,3,2,9,52.38,C,Pass
5.0,63.5,37.0,29.7,1,4,10,55.06,C,Pass
5.1,65.6,71.1,38.5,10,2,6,68.51,B,Pass
5.3,62.9,61.9,68.4,1,7,3,64.22,B,Pass
5.6,63.9,77.2,47.8,1,1,10,67.26,B,Pass
3.6,68.2,65.4,80.4,10,4,6,69.63,B,Pass
3.5,72.1,60.7,95.2,6,9,9,74.67,B+,Pass
5.0,74.2,54.9,90.8,9,1,7,71.76,B+,Pass
4.2,74.2,34.6,52.9,5,1,8,54.81,C,Pass
4.5,80.9,78.2,23.5,10,5,8,72.16,B+,Pass
5.0,67.2,42.2,40.2,9,6,6,64.3,B,Pass
5.5,75.2,87.2,55.5,5,3,8,75.64,B+,Pass
2.7,75.3,52.6,50.0,7,10,10,65.98,B,Pass
2.9,54.8,77.8,49.9,9,6,8,67.02,B,Pass
1.5,81.5,98.6,42.2,4,2,1,52.13,C,Pass
3.9,63.9,61.5,57.2,8,10,10,73.94,B+,Pass
1.2,52.3,84.0,84.5,5,4,1,53.7,C,Pass
3.3,82.4,85.4,21.1,6,5,3,59.96,C,Pass
3.7,52.4,32.4,55.2,7,3,9,55.42,C,Pass
2.4,72.1,67.7,95.9,4,10,8,70.12,B+,Pass
4.0,81.1,52.7,70.9,4,5,3,59.92,C,Pass
1.2,99.9,61.3,99.2,5,3,3,56.0,C,Pass
1.2,75.8,51.0,51.9,2,2,4,40.92,F,Fail
5.1,65.9,67.9,41.5,8,10,7,75.19,B+,Pass
2.8,74.6,93.2,93.5,8,8,3,74.98,B+,Pass
1.6,59.8,33.6,37.3,6,6,8,46.38,F,Fail
3.6,71.9,45.0,88.5,8,4,7,65.12,B,Pass
4.8,93.7,92.5,39.7,6,1,2,66.65,B,Pass
2.1,56.8,35.1,79.6,10,7,10,61.8,B,Pass
4.1,76.5,55.8,87.2,4,2,2,59.08,C,Pass
1.4,81.0,47.6,89.8,9,4,3,55.07,C,Pass
1.3,65.7,42.2,94.9,7,2,6,51.56,C,Pass
3.7,86.8,49.1,76.0,4,5,3,59.16,C,Pass
3.7,83.2,70.7,54.8,9,9,5,72.02,B+,Pass
4.2,73.2,97.8,38.7,5,6,9,74.38,B+,Pass
4.6,82.0,59.0,28.4,1,6,10,62.61,B,Pass
5.9,92.0,61.2,92.0,3,10,6,80.9,A,Pass
3.6,80.0,57.9,36.9,9,2,8,61.41,B,Pass
2.6,78.4,96.9,79.2,4,2,5,65.34,B,Pass
5.0,81.1,39.2,81.2,10,10,5,75.09,B+,Pass
2.4,83.8,51.4,50.7,4,6,2,50.44,C,Pass
3.2,70.2,32.1,72.0,9,7,1,55.64,C,Pass
1.4,91.8,54.1,29.7,7,4,7,50.76,C,Pass
1.1,96.2,49.4,50.9,8,5,7,54.0,C,Pass
5.8,81.1,47.0,49.2,9,6,5,70.44,B+,Pass
5.2,94.3,45.6,64.3,8,9,3,71.28,B+,Pass
4.5,87.2,53.3,58.4,4,10,10,72.81,B+,Pass
3.0,71.1,47.7,30.1,3,3,2,43.55,F,Fail
1.9,74.8,34.4,59.9,9,2,8,51.66,C,Pass
1.8,78.5,48.5,21.1,1,6,10,47.34,F,Fail
2.3,97.0,98.4,55.0,10,9,4,74.75,B+,Pass
3.7,82.4,96.1,32.9,6,7,5,70.0,B+,Pass
4.6,75.4,80.0,31.2,7,10,8,75.62,B+,Pass
4.3,56.2,43.4,20.1,4,7,9,56.68,C,Pass
2.4,83.3,70.3,99.8,1,1,1,53.47,C,Pass
5.8,77.7,88.8,62.6,1,7,10,80.56,A,Pass
4.7,97.0,37.7,59.3,10,2,2,60.82,B,Pass
3.8,67.1,67.1,40.5,10,9,5,68.76,B,Pass
4.1,89.8,51.5,78.8,9,8,1,68.07,B,Pass
3.1,64.1,58.1,67.7,1,7,10,61.49,B,Pass
2.2,58.6,68.0,83.8,8,10,2,64.23,B,Pass
2.8,50.6,63.6,93.6,2,6,7,61.2,B,Pass
4.8,94.8,94.3,62.7,7,7,6,81.66,A,Pass
1.1,72.2,67.3,31.3,5,7,1,46.14,F,Fail
1.6,64.1,77.7,74.9,4,6,7,60.47,B,Pass
1.2,70.2,69.0,99.0,7,2,5,57.92,C,Pass
1.2,85.6,58.3,41.2,9,10,4,57.12,C,Pass
5.3,69.7,44.4,92.2,5,5,5,68.1,B,Pass
4.5,61.3,35.7,71.0,3,8,5,59.7,C,Pass
3.4,54.4,77.4,64.6,10,1,2,61.08,B,Pass
1.5,81.1,37.1,24.9,9,10,9,55.12,C,Pass
3.5,98.6,35.8,55.5,4,5,8,58.14,C,Pass
3.4,81.7,94.1,55.0,10,1,5,69.54,B,Pass
1.9,97.3,97.9,90.4,1,4,9,69.37,B,Pass
3.2,93.9,72.1,69.9,6,4,7,67.7,B,Pass
3.0,57.8,32.2,87.1,7,5,6,56.9,C,Pass
4.1,94.0,83.4,51.9,10,9,1,74.44,B+,Pass
4.2,50.1,66.0,83.6,3,10,1,64.85,B,Pass
1.2,75.5,84.3,23.3,3,6,9,54.92,C,Pass
2.9,76.1,59.0,59.1,2,7,7,58.82,C,Pass
4.1,86.3,82.1,67.3,7,9,10,81.65,A,Pass
3.5,87.8,85.7,21.3,8,6,7,68.4,B,Pass
5.3,61.6,68.3,21.1,4,5,9,65.6,B,Pass
4.3,94.1,97.8,93.8,6,4,8,83.13,A,Pass
1.8,59.0,51.5,94.2,5,4,6,55.1,C,Pass
1.4,98.1,96.2,95.3,7,9,6,75.76,B+,Pass
4.2,99.3,33.1,35.4,10,2,1,53.32,C,Pass
1.1,84.8,86.4,96.7,1,3,4,56.98,C,Pass
3.9,82.4,69.2,80.5,7,8,3,71.22,B+,Pass
5.7,99.0,54.0,55.8,7,6,10,77.57,B+,Pass
3.9,62.1,35.3,59.4,7,3,6,55.54,C,Pass
2.9,82.1,78.3,45.6,3,9,10,68.22,B,Pass
4.2,70.3,77.3,91.2,3,4,10,73.84,B+,Pass
3.3,58.4,80.8,72.0,1,5,7,63.04,B,Pass
3.7,56.4,82.0,83.6,3,10,8,74.48,B+,Pass
5.7,85.0,38.3,24.1,3,8,9,64.49,B,Pass
2.9,61.4,90.1,29.3,10,2,5,61.66,B,Pass
5.8,80.0,40.3,70.1,10,7,8,76.79,B+,Pass
5.5,61.9,69.6,21.7,4,10,9,71.84,B+,Pass
2.0,72.7,85.8,90.0,5,4,7,66.22,B,Pass
1.3,87.1,100.0,70.5,10,6,7,72.48,B+,Pass
1.5,76.4,43.5,22.5,8,4,3,42.89,F,Fail
1.1,93.6,50.3,81.6,2,4,1,45.58,F,Fail
1.5,76.3,50.7,69.4,10,4,6,56.72,C,Pass
4.4,59.7,79.8,96.4,10,2,5,74.98,B+,Pass
1.4,94.9,65.7,40.9,7,3,5,52.65,C,Pass
2.6,70.9,57.7,33.0,3,3,10,52.86,C,Pass
5.2,93.4,96.3,57.4,1,8,7,78.82,B+,Pass
1.1,61.6,70.2,59.1,7,4,7,54.98,C,Pass
5.1,81.8,88.5,23.7,7,2,2,65.26,B,Pass
2.4,58.3,97.6,45.5,1,1,5,53.66,C,Pass
1.6,54.0,65.3,41.8,8,3,7,52.4,C,Pass
4.5,99.9,93.2,68.8,2,4,10,77.61,B+,Pass
4.1,50.5,85.9,81.0,9,9,2,75.07,B+,Pass
5.4,79.6,99.8,40.5,2,10,4,76.59,B+,Pass
4.7,50.7,61.5,78.7,10,3,7,71.05,B+,Pass
5.0,77.6,31.5,51.1,2,6,5,56.3,C,Pass
2.4,55.0,37.6,73.1,3,2,5,45.46,F,Fail
1.9,89.4,82.5,67.9,2,2,1,52.35,C,Pass
4.8,64.6,86.9,84.0,3,6,4,72.99,B+,Pass
5.0,67.2,55.2,71.4,8,8,1,68.23,B,Pass
6.0,62.6,38.1,34.8,5,2,1,53.0,C,Pass
3.1,55.7,79.6,83.1,2,5,6,63.33,B,Pass
2.9,75.0,74.4,75.2,6,10,8,72.98,B+,Pass
4.9,72.4,33.9,52.1,6,7,8,64.13,B,Pass
2.7,77.0,68.3,20.6,1,4,10,53.67,C,Pass
5.7,81.3,47.3,66.5,5,5,9,71.73,B+,Pass
5.3,54.4,38.1,64.3,4,5,6,60.81,B,Pass
3.1,70.7,42.7,78.4,8,1,6,56.9,C,Pass
4.8,79.6,44.7,26.1,6,9,2,59.25,C,Pass
4.8,66.2,41.2,54.1,6,7,6,63.24,B,Pass
1.5,59.6,42.7,65.3,7,8,10,57.43,C,Pass
5.5,80.3,67.7,95.6,5,7,8,81.29,A,Pass
3.5,85.9,33.1,74.1,10,6,2,59.98,C,Pass
5.1,87.5,50.9,53.3,9,1,1,60.87,B,Pass
2.6,66.3,37.6,86.0,9,4,6,58.33,C,Pass
5.5,54.9,73.5,54.5,9,3,9,75.04,B+,Pass
2.9,95.8,96.4,78.6,7,10,4,78.07,B+,Pass
1.1,84.4,33.1,62.4,10,2,10,52.48,C,Pass
5.5,97.4,92.7,32.3,8,7,3,77.76,B+,Pass
1.5,57.3,83.6,98.7,8,8,2,65.44,B,Pass
2.6,82.9,68.1,60.2,8,8,7,67.74,B,Pass
5.8,59.8,96.5,32.1,8,8,9,83.12,A,Pass
5.8,93.3,45.4,87.3,2,9,5,72.97,B+,Pass
3.9,76.0,33.1,73.0,4,7,10,63.42,B,Pass
4.2,76.6,84.9,50.7,5,10,1,69.29,B,Pass
3.2,96.5,38.6,42.4,8,5,3,54.46,C,Pass
2.5,65.2,88.3,48.1,2,9,3,59.81,C,Pass
2.6,81.0,94.3,78.0,6,7,9,75.78,B+,Pass
4.4,57.2,47.4,32.5,10,9,1,60.04,B,Pass
4.8,68.2,90.4,51.7,3,8,8,75.38,B+,Pass
5.0,59.7,67.3,47.7,2,7,2,60.95,B,Pass
4.9,60.1,54.3,22.1,4,5,3,54.5,C,Pass
1.5,83.1,49.6,57.5,5,10,10,60.34,B,Pass
3.5,64.3,85.0,29.9,7,10,1,64.16,B,Pass
1.3,62.6,76.4,57.6,6,5,10,60.2,B,Pass
3.7,90.4,89.0,52.8,2,4,10,70.01,B+,Pass
3.2,73.7,72.9,68.2,2,1,8,59.62,C,Pass
5.4,69.0,55.0,51.4,8,4,9,70.96,B+,Pass
2.8,90.8,55.3,48.4,8,8,2,59.36,C,Pass
1.6,74.4,93.9,87.7,3,1,8,62.47,B,Pass
